epoch:1 train_loss:1.895 val_loss:1.883 train_accuracy:0.386 val_accuracy:0.381
epoch:2 train_loss:1.178 val_loss:1.507 train_accuracy:0.598 val_accuracy:0.500
epoch:3 train_loss:0.987 val_loss:1.407 train_accuracy:0.662 val_accuracy:0.576
epoch:4 train_loss:0.885 val_loss:1.202 train_accuracy:0.695 val_accuracy:0.559
epoch:5 train_loss:0.832 val_loss:1.230 train_accuracy:0.709 val_accuracy:0.644
epoch:6 train_loss:0.768 val_loss:1.628 train_accuracy:0.726 val_accuracy:0.534
epoch:7 train_loss:0.690 val_loss:1.186 train_accuracy:0.745 val_accuracy:0.619
epoch:8 train_loss:0.652 val_loss:1.676 train_accuracy:0.761 val_accuracy:0.534
epoch:9 train_loss:0.644 val_loss:1.073 train_accuracy:0.767 val_accuracy:0.661
epoch:10 train_loss:0.595 val_loss:1.392 train_accuracy:0.783 val_accuracy:0.610
epoch:11 train_loss:0.584 val_loss:1.208 train_accuracy:0.778 val_accuracy:0.653
epoch:12 train_loss:0.553 val_loss:1.427 train_accuracy:0.793 val_accuracy:0.585
epoch:13 train_loss:0.544 val_loss:1.444 train_accuracy:0.791 val_accuracy:0.576
epoch:14 train_loss:0.547 val_loss:1.100 train_accuracy:0.796 val_accuracy:0.593
epoch:15 train_loss:0.500 val_loss:1.490 train_accuracy:0.808 val_accuracy:0.636
epoch:16 train_loss:0.509 val_loss:1.200 train_accuracy:0.814 val_accuracy:0.636
epoch:17 train_loss:0.471 val_loss:1.545 train_accuracy:0.816 val_accuracy:0.576
epoch:18 train_loss:0.420 val_loss:1.423 train_accuracy:0.831 val_accuracy:0.653
epoch:19 train_loss:0.430 val_loss:1.659 train_accuracy:0.832 val_accuracy:0.585
epoch:20 train_loss:0.411 val_loss:1.257 train_accuracy:0.840 val_accuracy:0.686
epoch:21 train_loss:0.434 val_loss:1.528 train_accuracy:0.825 val_accuracy:0.653
epoch:22 train_loss:0.413 val_loss:1.779 train_accuracy:0.845 val_accuracy:0.627
epoch:23 train_loss:0.415 val_loss:1.743 train_accuracy:0.837 val_accuracy:0.593
epoch:24 train_loss:0.395 val_loss:1.635 train_accuracy:0.845 val_accuracy:0.661
epoch:25 train_loss:0.395 val_loss:1.995 train_accuracy:0.849 val_accuracy:0.661
epoch:26 train_loss:0.354 val_loss:1.946 train_accuracy:0.863 val_accuracy:0.627
epoch:27 train_loss:0.358 val_loss:1.932 train_accuracy:0.856 val_accuracy:0.568
epoch:28 train_loss:0.358 val_loss:1.472 train_accuracy:0.853 val_accuracy:0.542
epoch:29 train_loss:0.348 val_loss:1.798 train_accuracy:0.868 val_accuracy:0.576
epoch:30 train_loss:0.329 val_loss:1.942 train_accuracy:0.873 val_accuracy:0.644
