epoch:1 train_loss:1.493 val_loss:1.390 train_accuracy:0.468 val_accuracy:0.500
epoch:2 train_loss:1.081 val_loss:1.044 train_accuracy:0.618 val_accuracy:0.627
epoch:3 train_loss:0.858 val_loss:0.895 train_accuracy:0.694 val_accuracy:0.720
epoch:4 train_loss:0.787 val_loss:0.786 train_accuracy:0.720 val_accuracy:0.729
epoch:5 train_loss:0.703 val_loss:0.906 train_accuracy:0.740 val_accuracy:0.669
epoch:6 train_loss:0.656 val_loss:0.768 train_accuracy:0.756 val_accuracy:0.720
epoch:7 train_loss:0.612 val_loss:0.854 train_accuracy:0.772 val_accuracy:0.627
epoch:8 train_loss:0.567 val_loss:0.646 train_accuracy:0.791 val_accuracy:0.737
epoch:9 train_loss:0.534 val_loss:0.628 train_accuracy:0.790 val_accuracy:0.737
epoch:10 train_loss:0.507 val_loss:0.528 train_accuracy:0.814 val_accuracy:0.754
epoch:11 train_loss:0.505 val_loss:0.755 train_accuracy:0.816 val_accuracy:0.737
epoch:12 train_loss:0.461 val_loss:0.640 train_accuracy:0.826 val_accuracy:0.754
epoch:13 train_loss:0.450 val_loss:0.717 train_accuracy:0.826 val_accuracy:0.737
epoch:14 train_loss:0.442 val_loss:0.681 train_accuracy:0.829 val_accuracy:0.771
epoch:15 train_loss:0.451 val_loss:0.572 train_accuracy:0.832 val_accuracy:0.729
epoch:16 train_loss:0.402 val_loss:0.620 train_accuracy:0.836 val_accuracy:0.780
epoch:17 train_loss:0.415 val_loss:0.603 train_accuracy:0.842 val_accuracy:0.754
epoch:18 train_loss:0.369 val_loss:0.779 train_accuracy:0.853 val_accuracy:0.805
epoch:19 train_loss:0.406 val_loss:0.521 train_accuracy:0.840 val_accuracy:0.822
epoch:20 train_loss:0.368 val_loss:0.531 train_accuracy:0.850 val_accuracy:0.788
epoch:21 train_loss:0.356 val_loss:0.553 train_accuracy:0.860 val_accuracy:0.805
epoch:22 train_loss:0.347 val_loss:0.661 train_accuracy:0.861 val_accuracy:0.771
epoch:23 train_loss:0.360 val_loss:0.926 train_accuracy:0.859 val_accuracy:0.746
epoch:24 train_loss:0.355 val_loss:0.506 train_accuracy:0.855 val_accuracy:0.788
epoch:25 train_loss:0.354 val_loss:0.744 train_accuracy:0.859 val_accuracy:0.788
epoch:26 train_loss:0.332 val_loss:0.754 train_accuracy:0.867 val_accuracy:0.754
epoch:27 train_loss:0.339 val_loss:0.661 train_accuracy:0.854 val_accuracy:0.771
epoch:28 train_loss:0.294 val_loss:0.945 train_accuracy:0.876 val_accuracy:0.822
epoch:29 train_loss:0.318 val_loss:0.659 train_accuracy:0.878 val_accuracy:0.788
epoch:30 train_loss:0.314 val_loss:0.606 train_accuracy:0.875 val_accuracy:0.754
